////////////////////////////////////////////////////////////////////////////////																																												
// Text Ver. 0.0.1.1																																												
// Version 0.98v  - T서버																																												
// Version 0.98u  - M서버																																												
// 최종 작업자 - 정동일																																												
// 최종 작업일 - 10-5-2004 19:11																																												
// 내용: 세트아이템																																												
////////////////////////////////////////////////////////////////////////////////																																												
																																												
//link Index	name	option 2-1	Value	option 2-2	Value	option 3-1	Value	option 3-2	Value	option 4-1	Value	option 4-2	Value	option 5-1	Value	option 5-2	Value	option 6-1	Value	option 6-2	Value	option 7-1	Value	option 7-2	Value	option 8	Value	option 9	Value	Full 1	Value	Full 2	Value	Full 3	Value	Full 4	Value	Full 5	Value	흑마법사	흑기사	요정	마검사	다크로드
11	"하이온의"	10	25	-1	-1	20	10	-1	-1	19	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	16	20	18	20	-1	-1	0	0	0	0	0
//12	"세트12"	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0
	//흑기사 or 마검사																																											
13	"아폴로의"	2	10	-1	-1	7	5	-1	-1	19	10	-1	-1	12	30	-1	-1	11	30	-1	-1	13	20	-1	-1	-1	-1	-1	-1	15	10	17	10	2	30	-1	-1	-1	-1	0	0	0	0	0
//14	"세트14"	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0
15	"에비스의"	19	15	-1	-1	3	20	-1	-1	7	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	5	9	50	14	5	-1	-1	-1	-1	0	0	0	0	0
//16	"세트16"	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0
17	"헤라스의"	0	15	-1	-1	7	10	-1	-1	22	5	-1	-1	2	15	-1	-1	9	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	10	17	10	11	50	12	50	-1	-1	0	0	0	0	0
//18	"세트18"	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0
19	"아누비스의"	20	10	-1	-1	12	50	-1	-1	7	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	16	20	18	20	-1	-1	0	0	0	0	0
//20	"세트20"	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0
	//요정																																											
21	"세토의"	1	10	-1	-1	11	50	-1	-1	10	20	-1	-1	22	5	-1	-1	2	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	50	0	20	-1	-1	-1	-1	-1	-1	0	0	0	0	0
//22	"세트22"	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0
23	"가이아의"	19	10	-1	-1	12	25	-1	-1	0	10	-1	-1	20	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	30	17	10	18	10	-1	-1	-1	-1	0	0	0	0	0
//24	"세트24"	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0
25	"오딘의"	2	15	-1	-1	11	50	-1	-1	9	50	-1	-1	1	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	50	21	5	13	50	-1	-1	-1	-1	0	0	0	0	0
//26	"세트26"	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0
27	"아르고의"	6	20	-1	-1	19	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	13	50	20	5	-1	-1	-1	-1	-1	-1	0	0	0	0	0
//28	"세트28"	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0
29	"가이웬의"	1	30	-1	-1	5	20	-1	20	10	20	-1	-1	6	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	16	20	18	20	-1	-1	0	0	0	0	0
//30	"세트30"	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0
	//마검사																																											
31	"가이온의"	21	5	-1	-1	20	15	-1	-1	19	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	15	18	30	7	10	0	30	-1	-1	0	0	0	0	0
//32	"세트32"	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0
end																																												
